"title","title_link","publish_date"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Latvia","https://unece.org/info/publications/pub/2826","31 December 1997"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Austria","https://unece.org/info/publications/pub/2828","31 December 1997"
"Living Arrangements of Older Persons in Canada: Effects on their Socio-economic Conditions","https://unece.org/info/publications/pub/2778","31 December 1997"
"Directory of Population Ageing Related Research Projects in Europe","https://unece.org/info/publications/pub/2777","31 December 1997"
"Ageing Research in Europe: Demographic, Social and Behavioural Aspects By Emily Agree and George Myers","https://unece.org/info/publications/pub/2776","31 December 1997"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : France","https://unece.org/info/publications/pub/2833","31 December 1996"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Poland","https://unece.org/info/publications/pub/2832","31 December 1996"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Sweden","https://unece.org/info/publications/pub/2830","31 December 1996"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Netherlands","https://unece.org/info/publications/pub/2831","31 December 1996"
"Fertility and Family Surveys in Countries of the ECE Region, Standard Country Report : Norway","https://unece.org/info/publications/pub/2834","31 December 1995"
"International Migration in Central and Eastern Europe and the Commonwealth of Independent States","https://unece.org/info/publications/pub/2789","31 December 1995"
"Social Aspects and Country Reviews of Population Ageing","https://unece.org/info/publications/pub/2790","31 December 1993"
"European Population Conference","https://unece.org/info/publications/pub/2806","22 March 1993"
"Demographic Causes and Economic Consequences of Population Aging, Europe and North America","https://unece.org/info/publications/pub/2786","31 December 1991"
"In Depth Studies on Migration in Central and Eastern Europe, The Case of Poland","https://unece.org/info/publications/pub/2779","01 January 1970"
"Docs","https://unece.org/ru/info/publications/pub/2775",""
"Docs","https://unece.org/fr/info/publications/pub/2775",""
"Docs","https://unece.org/ru/info/publications/pub/2805",""
"Docs","https://unece.org/fr/info/publications/pub/2805",""
